iter	Passed	Remaining
559	2134	1676
560	2138	1673
561	2142	1669
562	2143	1663
563	2147	1660
564	2151	1656
565	2154	1651
566	2155	1646
567	2159	1642
568	2163	1638
569	2167	1635
570	2171	1631
571	2175	1627
572	2177	1622
573	2180	1618
574	2185	1615
575	2188	1611
576	2189	1605
577	2193	1601
578	2197	1597
579	2201	1594
580	2202	1588
581	2206	1585
582	2210	1581
583	2215	1577
584	2217	1572
585	2220	1569
586	2224	1565
587	2228	1561
588	2230	1556
589	2235	1553
590	2238	1549
591	2243	1546
592	2247	1542
593	2251	1538
594	2255	1535
595	2259	1531
596	2263	1527
597	2267	1524
598	2271	1520
599	2275	1517
600	2279	1513
601	2281	1508
602	2282	1502
603	2286	1499
604	2290	1495
605	2293	1491
606	2298	1487
607	2302	1484
608	2306	1480
609	2309	1476
610	2313	1473
611	2317	1469
612	2321	1465
613	2323	1460
614	2326	1456
615	2331	1453
616	2335	1449
617	2339	1445
618	2343	1442
619	2347	1438
620	2351	1434
621	2354	1431
622	2358	1427
623	2362	1423
624	2366	1419
625	2368	1415
626	2372	1411
627	2376	1407
628	2379	1403
629	2383	1399
630	2387	1396
631	2390	1392
632	2395	1388
633	2398	1384
634	2402	1380
635	2406	1377
636	2410	1373
637	2414	1369
638	2418	1366
639	2422	1362
640	2426	1358
641	2430	1355
642	2434	1351
643	2437	1347
644	2441	1343
645	2443	1338
646	2447	1335
647	2448	1329
648	2452	1326
649	2455	1322
650	2459	1318
651	2463	1314
652	2467	1311
653	2471	1307
654	2473	1302
655	2473	1297
656	2477	1293
657	2481	1289
658	2483	1284
659	2486	1281
660	2491	1277
661	2495	1273
662	2499	1270
663	2504	1267
664	2508	1263
665	2512	1260
666	2516	1256
667	2520	1252
668	2521	1247
669	2525	1243
670	2529	1240
671	2532	1236
672	2536	1232
673	2539	1228
674	2542	1224
675	2546	1220
676	2550	1216
677	2554	1213
678	2558	1209
679	2561	1205
680	2565	1201
681	2569	1198
682	2573	1194
683	2577	1190
684	2581	1187
685	2585	1183
686	2589	1179
687	2593	1175
688	2596	1172
689	2600	1168
690	2604	1164
691	2608	1160
692	2612	1157
693	2615	1153
694	2619	1149
695	2623	1145
696	2627	1142
697	2629	1137
698	2634	1134
699	2638	1130
700	2642	1127
701	2646	1123
702	2650	1119
703	2654	1116
704	2658	1112
705	2662	1108
706	2666	1105
707	2671	1101
708	2674	1097
709	2678	1094
710	2683	1090
711	2687	1086
712	2691	1083
713	2695	1079
714	2699	1076
715	2703	1072
716	2707	1068
717	2711	1064
718	2715	1061
719	2719	1057
720	2723	1053
721	2727	1050
722	2731	1046
723	2733	1042
724	2737	1038
725	2741	1034
726	2745	1031
727	2749	1027
728	2753	1023
729	2757	1019
730	2759	1015
731	2764	1012
732	2767	1008
733	2770	1003
734	2774	1000
735	2778	996
736	2781	992
737	2785	989
738	2789	985
739	2793	981
740	2797	977
